ID,Bureaux,"Region, Pays",City delimitor position,Region delimitor pos,Region,Country,Address
520,"Thales near  Tirana,  Tirana,  Albania","Tirana,  Tirana,  Albania",7,16,"Tirana,  Tirana",Albania,
169,"Thales near  Algiers,  Algiers,  Algeria","Algiers,  Algiers,  Algeria",8,18,"Algiers,  Algiers",Algeria,
597,"Thales near  Oran,  Oran,  Algeria","Oran,  Oran,  Algeria",5,12,"Oran,  Oran",Algeria,
659,"Thales near  Luanda,  Luanda,  Angola","Luanda,  Luanda,  Angola",7,16,"Luanda,  Luanda",Angola,
615,"Thales near  Barracas,  Capital Federal,  Argentina","Barracas,  Capital Federal,  Argentina",9,27,"Barracas,  Capital Federal",Argentina,
623,"Thales near  Bs As,  Bs As,  Argentina","Bs As,  Bs As,  Argentina",6,14,"Bs As,  Bs As",Argentina,
173,"Thales near  Buenos Aires,  Buenos Aires,  Argentina","Buenos Aires,  Buenos Aires,  Argentina",13,28,"Buenos Aires,  Buenos Aires",Argentina,
621,"Thales near  Capital Federal,  Capital Federal,  Argentina","Capital Federal,  Capital Federal,  Argentina",16,34,"Capital Federal,  Capital Federal",Argentina,
617,"Thales near  Microcentro,  Capital Federal,  Argentina","Microcentro,  Capital Federal,  Argentina",12,30,"Microcentro,  Capital Federal",Argentina,
605,"Thales near  Palermo,  Capital Federal,  Argentina","Palermo,  Capital Federal,  Argentina",8,26,"Palermo,  Capital Federal",Argentina,
624,"Thales near  San  Isidro,  Bs As,  Argentina","San  Isidro,  Bs As,  Argentina",12,20,"San  Isidro,  Bs As",Argentina,
619,"Thales near  San Telmo,  Capital Federal,  Argentina","San Telmo,  Capital Federal,  Argentina",10,28,"San Telmo,  Capital Federal",Argentina,
544,"Thales near  Amberley ,  Queensland,  Australia","Amberley ,  Queensland,  Australia",10,23,"Amberley ,  Queensland",Australia,
545,"Thales near  Benalla,  Victoria,  Australia","Benalla,  Victoria,  Australia",8,19,"Benalla,  Victoria",Australia,
546,"Thales near  Bendigo ,  Victoria,  Australia","Bendigo ,  Victoria,  Australia",9,20,"Bendigo ,  Victoria",Australia,
547,"Thales near  Brisbane Airport   ,  Queensland,  Australia","Brisbane Airport   ,  Queensland,  Australia",20,33,"Brisbane Airport   ,  Queensland",Australia,
548,"Thales near  Campbell,  Australian Capital Territory,  Australia","Campbell,  Australian Capital Territory,  Australia",9,40,"Campbell,  Australian Capital Territory",Australia,
569,"Thales near  Carrington ,  New South Wales,  Australia","Carrington ,  New South Wales,  Australia",12,30,"Carrington ,  New South Wales",Australia,
553,"Thales near  Crib Point,  Victoria,  Australia","Crib Point,  Victoria,  Australia",11,22,"Crib Point,  Victoria",Australia,
549,"Thales near  Deakin ,  Australian Capital Territory,  Australia","Deakin ,  Australian Capital Territory,  Australia",8,39,"Deakin ,  Australian Capital Territory",Australia,
568,"Thales near  Denman ,  New South Wales,  Australia","Denman ,  New South Wales,  Australia",8,26,"Denman ,  New South Wales",Australia,
579,"Thales near  Douglas,  Queensland,  Australia","Douglas,  Queensland,  Australia",8,21,"Douglas,  Queensland",Australia,
555,"Thales near  Eden,  New South Wales,  Australia","Eden,  New South Wales,  Australia",5,23,"Eden,  New South Wales",Australia,
588,"Thales near  Edinburgh (AUS),  South Australia,  Australia","Edinburgh (AUS),  South Australia,  Australia",16,34,"Edinburgh (AUS),  South Australia",Australia,
556,"Thales near  Footscray ,  Victoria,  Australia","Footscray ,  Victoria,  Australia",11,22,"Footscray ,  Victoria",Australia,
550,"Thales near  Fyshwick,  Australian Capital Territory,  Australia","Fyshwick,  Australian Capital Territory,  Australia",9,40,"Fyshwick,  Australian Capital Territory",Australia,
489,"Thales near  Garden Island - NSW,  New South Wales,  Australia","Garden Island - NSW,  New South Wales,  Australia",20,38,"Garden Island - NSW,  New South Wales",Australia,
558,"Thales near  Garden Island - WA,  Western Australia,  Australia","Garden Island - WA,  Western Australia,  Australia",19,39,"Garden Island - WA,  Western Australia",Australia,
559,"Thales near  Glenbrook ,  New South Wales,  Australia","Glenbrook ,  New South Wales,  Australia",11,29,"Glenbrook ,  New South Wales",Australia,
560,"Thales near  Henderson ,  Western Australia,  Australia","Henderson ,  Western Australia,  Australia",11,31,"Henderson ,  Western Australia",Australia,
561,"Thales near  Holdsworthy ,  New South Wales,  Australia","Holdsworthy ,  New South Wales,  Australia",13,31,"Holdsworthy ,  New South Wales",Australia,
573,"Thales near  Lara ,  Victoria,  Australia","Lara ,  Victoria,  Australia",6,17,"Lara ,  Victoria",Australia,
563,"Thales near  Lithgow ,  New South Wales,  Australia","Lithgow ,  New South Wales,  Australia",9,27,"Lithgow ,  New South Wales",Australia,
