name,description,timestamp,begin,_end,altitudemode,tessellate,extrude,visibility,draworder,icon,id,bureaux,the_geom,cartodb_id,created_at,updated_at,cartodb_georef_status
,"<div class=""googft-info-window"">
<b>ID:</b> 623<br>
<b>Bureaux:</b> Thales near  Bs As,  Bs As,  Argentina
</div>",,,,,,,-1,,,623,"Thales near  Bs As,  Bs As,  Argentina",,43,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 40<br>
<b>Bureaux:</b> Thales near  Arcueil,  Région Parisienne,  France
</div>",,,,,,,-1,,,40,"Thales near  Arcueil,  Région Parisienne,  France",,9,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 185<br>
<b>Bureaux:</b> Thales near  Beijing,  Beijing,  China
</div>",,,,,,,-1,,,185,"Thales near  Beijing,  Beijing,  China",,21,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 525<br>
<b>Bureaux:</b> Thales near  Belgrade,  Belgrade,  Serbia
</div>",,,,,,,-1,,,525,"Thales near  Belgrade,  Belgrade,  Serbia",,24,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 546<br>
<b>Bureaux:</b> Thales near  Bendigo ,  Victoria,  Australia
</div>",,,,,,,-1,,,546,"Thales near  Bendigo ,  Victoria,  Australia",,27,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 469<br>
<b>Bureaux:</b> Thales near  Bergen,  Bergen,  Norway
</div>",,,,,,,-1,,,469,"Thales near  Bergen,  Bergen,  Norway",,28,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 68<br>
<b>Bureaux:</b> Thales near  Blagnac,  Sud Ouest,  France
</div>",,,,,,,-1,,,68,"Thales near  Blagnac,  Sud Ouest,  France",,33,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 42<br>
<b>Bureaux:</b> Thales near  Brétigny sur Orge,  Région Parisienne,  France
</div>",,,,,,,-1,,,42,"Thales near  Brétigny sur Orge,  Région Parisienne,  France",,37,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 105<br>
<b>Bureaux:</b> Thales near  Bristol,  South West,  United Kingdom
</div>",,,,,,,-1,,,105,"Thales near  Bristol,  South West,  United Kingdom",,40,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 523<br>
<b>Bureaux:</b> Thales near  Bucharest,  Bucharest,  Romania
</div>",,,,,,,-1,,,523,"Thales near  Bucharest,  Bucharest,  Romania",,44,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 654<br>
<b>Bureaux:</b> Thales near  Burnham,  Canterbury,  New Zealand
</div>",,,,,,,-1,,,654,"Thales near  Burnham,  Canterbury,  New Zealand",,48,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 113<br>
<b>Bureaux:</b> Thales near  Busher Road,  Thames Valley,  United Kingdom
</div>",,,,,,,-1,,,113,"Thales near  Busher Road,  Thames Valley,  United Kingdom",,50,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 188<br>
<b>Bureaux:</b> Thales near  Cairo,  Lower-Egypt,  Egypt
</div>",,,,,,,-1,,,188,"Thales near  Cairo,  Lower-Egypt,  Egypt",,51,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 248<br>
<b>Bureaux:</b> Thales near  Cannes,  PACA,  France
</div>",,,,,,,-1,,,248,"Thales near  Cannes,  PACA,  France",,55,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 44<br>
<b>Bureaux:</b> Thales near  Chatou,  Région Parisienne,  France
</div>",,,,,,,-1,,,44,"Thales near  Chatou,  Région Parisienne,  France",,65,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 45<br>
<b>Bureaux:</b> Thales near  Colombes,  Région Parisienne,  France
</div>",,,,,,,-1,,,45,"Thales near  Colombes,  Région Parisienne,  France",,72,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 553<br>
<b>Bureaux:</b> Thales near  Crib Point,  Victoria,  Australia
</div>",,,,,,,-1,,,553,"Thales near  Crib Point,  Victoria,  Australia",,77,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 555<br>
<b>Bureaux:</b> Thales near  Eden,  New South Wales,  Australia
</div>",,,,,,,-1,,,555,"Thales near  Eden,  New South Wales,  Australia",,88,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 47<br>
<b>Bureaux:</b> Thales near  Elancourt,  Région Parisienne,  France
</div>",,,,,,,-1,,,47,"Thales near  Elancourt,  Région Parisienne,  France",,93,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 84<br>
<b>Bureaux:</b> Thales near  Erith,  East Anglia,  United Kingdom
</div>",,,,,,,-1,,,84,"Thales near  Erith,  East Anglia,  United Kingdom",,94,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 489<br>
<b>Bureaux:</b> Thales near  Garden Island - NSW,  New South Wales,  Australia
</div>",,,,,,,-1,,,489,"Thales near  Garden Island - NSW,  New South Wales,  Australia",,102,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 558<br>
<b>Bureaux:</b> Thales near  Garden Island - WA,  Western Australia,  Australia
</div>",,,,,,,-1,,,558,"Thales near  Garden Island - WA,  Western Australia,  Australia",,103,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 390<br>
<b>Bureaux:</b> Thales near  Geneva,  Geneva,  Switzerland
</div>",,,,,,,-1,,,390,"Thales near  Geneva,  Geneva,  Switzerland",,104,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 430<br>
<b>Bureaux:</b> Thales near  Hengelo,  Overijssel,  Netherlands
</div>",,,,,,,-1,,,430,"Thales near  Hengelo,  Overijssel,  Netherlands",,114,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 423<br>
<b>Bureaux:</b> Thales near  Huizen,  North Holland,  Netherlands
</div>",,,,,,,-1,,,423,"Thales near  Huizen,  North Holland,  Netherlands",,118,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 199<br>
<b>Bureaux:</b> Thales near  Jakarta,  Territory of Jakarta,  Indonesia
</div>",,,,,,,-1,,,199,"Thales near  Jakarta,  Territory of Jakarta,  Indonesia",,123,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 51<br>
<b>Bureaux:</b> Thales near  Jouy en Josas,  Région Parisienne,  France
</div>",,,,,,,-1,,,51,"Thales near  Jouy en Josas,  Région Parisienne,  France",,125,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 636<br>
<b>Bureaux:</b> Thales near  Juaymah - Rahima,  Juaymah - Rahima,  Saudi Arabia
</div>",,,,,,,-1,,,636,"Thales near  Juaymah - Rahima,  Juaymah - Rahima,  Saudi Arabia",,126,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 631<br>
<b>Bureaux:</b> Thales near  Jubial,  Jubial,  Saudi Arabia
</div>",,,,,,,-1,,,631,"Thales near  Jubial,  Jubial,  Saudi Arabia",,127,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
