ID;Bureaux;Region, Pays;City delimitor position;Region delimitor pos;Region;Country;Address;;;
236;Thales near  Abbey Wood - Bristol,  South East,  United Kingdom;Abbey Wood - Bristol,  South East,  United Kingdom;21;34;Abbey Wood - Bristol,  South East;United Kingdom;;;;
535;Thales near  Abu Dhabi,  Abu Dhabi,  United Arab Emirates;Abu Dhabi,  Abu Dhabi,  United Arab Emirates;10;22;Abu Dhabi,  Abu Dhabi;United Arab Emirates;Al Muroor Street CERT Complex Block E Abu Dhabi U.A.E;Al Muroor Street_CERT Complex_Block E;;
237;Thales near  Addlestone,  Surrey,  United Kingdom;Addlestone,  Surrey,  United Kingdom;11;20;Addlestone,  Surrey;United Kingdom;;;;
78;Thales near  Aix,  PACA,  France;Aix,  PACA,  France;4;11;Aix,  PACA;France;305 rue Louis Armand 13593 Aix en Provence CEDEX 3;320, avenue d'ArchimŠde Les Pl‚‹ades III - Bƒtiment A Parc de la Duranne 13857 AIX EN PROVENCE C‚dex 3;;
169;Thales near  Algiers,  Algiers,  Algeria;Algiers,  Algiers,  Algeria;8;18;Algiers,  Algiers;Algeria;4, Rue Abdeslam Takarli, El Biar._16000 Alger;;;
544;Thales near  Amberley ,  Queensland,  Australia;Amberley ,  Queensland,  Australia;10;23;Amberley ,  Queensland;Australia;"Building 814, RAAF Base Amberley, Rosewood Road, Amberley
";;;
445;Thales near  Antequera,  Malaga,  Spain;Antequera,  Malaga,  Spain;10;19;Antequera,  Malaga;Spain;BASE ADIF ANTEQUERA _TRAZA AVE CORDOBA-MALAGA                       _COLONIA SANTA ANA _CTRA. A-384  KM 120,CRUCE HUMILLADERO;;;
592;Thales near  Antwerpen,  Vlanderen,  Belgium;Antwerpen,  Vlanderen,  Belgium;10;22;Antwerpen,  Vlanderen;Belgium;;;;
40;Thales near  Arcueil,  R‚gion Parisienne,  France;Arcueil,  R‚gion Parisienne,  France;8;28;Arcueil,  R‚gion Parisienne;France;;;;
648;Thales near  Arlington,  Virginia,  United States;Arlington,  Virginia,  United States;10;21;Arlington,  Virginia;United States;2733 South Crystal Drive Suite 1200 Arlington, VA 22202;;;
399;Thales near  Arnstadt,  Thringen,  Germany;Arnstadt,  Thringen,  Germany;9;21;Arnstadt,  Thringen;Germany;;;;
250;Thales near  Aubagne,  PACA,  France;Aubagne,  PACA,  France;8;15;Aubagne,  PACA;France;Z.I. Des Paluds;Avenue de la Fleuride;;
640;Thales near  Auckland,  Auckland,  New Zealand;Auckland,  Auckland,  New Zealand;9;20;Auckland,  Auckland;New Zealand;"29 Customs Street West, Auckland
";;;
112;Thales near  Aylesbury,  Thames Valley,  United Kingdom;Aylesbury,  Thames Valley,  United Kingdom;10;26;Aylesbury,  Thames Valley;United Kingdom;;;;
122;Thales near  Bad Hersfeld,  Hessen,  Germany;Bad Hersfeld,  Hessen,  Germany;13;22;Bad Hersfeld,  Hessen;Germany;;;;
41;Thales near  Bagneux,  R‚gion Parisienne,  France;Bagneux,  R‚gion Parisienne,  France;8;28;Bagneux,  R‚gion Parisienne;France;;;;
674;Thales near  Bangalore,  Karnataka,  India;Bangalore,  Karnataka,  India;10;22;Bangalore,  Karnataka;India;"# 21,Langford Road,Langford Town, Bangalore -560 027, India 
";;;
449;Thales near  Barcelona,  Barcelona,  Spain;Barcelona,  Barcelona,  Spain;10;22;Barcelona,  Barcelona;Spain;08.918 - Badalona (Barcelona);;;
615;Thales near  Barracas,  Capital Federal,  Argentina;Barracas,  Capital Federal,  Argentina;9;27;Barracas,  Capital Federal;Argentina;;;;
