cartodb_id,created_at,updated_at,the_geom,transportation,office,latitude,longitude,ipaddress,proxyipaddress
16,2013-11-09 02:08:11.581073,2013-11-09 02:08:11.581073,,1,217,,,,
17,2013-11-09 02:12:49.205246,2013-11-09 02:12:49.205246,,1,1,,,,
18,2013-11-09 02:12:52.312825,2013-11-09 02:12:52.312825,,1,217,,,,
19,2013-11-09 02:14:43.40807,2013-11-09 02:14:43.40807,,1,217,,,,
20,2013-11-09 02:27:30.496612,2013-11-09 02:27:30.496612,,1,217,,,,
21,2013-11-09 02:30:03.934779,2013-11-09 02:30:03.934779,,1,217,,,,
22,2013-11-09 02:32:30.948307,2013-11-09 02:32:30.948307,,1,217,,,,
24,2013-11-09 02:46:04.165788,2013-11-09 02:46:04.165788,,1,217,46.8000594467873,-71.279296875,::1,
25,2013-11-09 02:48:48.689743,2013-11-09 02:48:48.689743,,1,217,46.8000594467873,-71.279296875,::1,
26,2013-11-09 02:50:54.063573,2013-11-09 02:50:54.063573,,1,197,46.8000594467873,-71.279296875,65.94.64.38,65.94.64.38:50698
27,2013-11-09 02:51:14.808071,2013-11-09 02:51:14.808071,,1,174,46.8000594467873,-71.279296875,65.94.64.38,65.94.64.38:50699
28,2013-11-09 03:15:28.484885,2013-11-09 03:15:28.484885,,5,47,46.8000594467873,-71.19140625,65.94.64.38,65.94.64.38:57466
29,2013-11-09 12:39:07.990961,2013-11-09 12:39:07.990961,,4,120,46.8000594467873,-71.279296875,::1,
30,2013-11-09 18:49:59.559117,2013-11-09 18:49:59.559117,,1,1,0,0,::1,
31,2013-11-09 19:16:06.016644,2013-11-09 19:16:06.016644,,5,174,0,0,69.165.214.140,69.165.214.140:58214
32,2013-11-09 20:00:07.766166,2013-11-09 20:00:07.766166,,1,217,46.8000594467873,-71.279296875,::1,
33,2013-11-09 20:23:27.844369,2013-11-09 20:23:27.844369,,1,217,0,0,192.168.2.24,
34,2013-11-09 20:41:52.965154,2013-11-09 20:41:52.965154,,1,217,46.812779,-71.219353,209.197.163.106,209.197.163.106:58254
35,2013-11-09 20:42:22.565353,2013-11-09 20:42:22.565353,,1,220,46.812779,-71.219353,209.197.163.106,209.197.163.106:58254
36,2013-11-09 23:42:40.935,2013-11-09 23:42:40.935,,1,217,46.812779,-71.219353,209.197.163.106,209.197.163.106:58554
37,2013-11-10 02:38:58.29282,2013-11-10 02:38:58.29282,,6,278,46.812779,-71.219353,209.197.163.106,209.197.163.106:58733
38,2013-11-10 18:14:22.718208,2013-11-10 18:14:22.718208,,1,95,48.0835837656846,-1.2030029296875,::1,
39,2013-11-10 18:14:56.811366,2013-11-10 18:14:56.811366,,1,119,34.752896477452,-86.6326904296875,::1,
40,2013-11-10 18:22:21.803536,2013-11-10 18:22:21.803536,,1,218,46.843609,-71.416069,65.94.64.38,65.94.64.38:53963
41,2013-11-10 20:30:46.361537,2013-11-10 20:30:46.361537,,1,82,25.294571,51.51944,65.94.64.38,65.94.64.38:59375
42,2013-11-11 00:19:56.120278,2013-11-11 00:19:56.120278,,1,218,46.843609,-71.416069,65.94.64.38,65.94.64.38:58719
43,2013-11-11 00:21:21.546459,2013-11-11 00:21:21.546459,,3,218,46.843609,-71.416069,65.94.64.38,65.94.64.38:58812
44,2013-11-11 00:22:07.999694,2013-11-11 00:22:07.999694,,1,265,31.156408414557,-93.592529296875,65.94.64.38,65.94.64.38:58812
45,2013-11-11 01:14:27.100711,2013-11-11 01:14:27.100711,,1,218,46.843609,-71.416069,65.94.64.38,65.94.64.38:55381
46,2013-11-11 13:09:35.435221,2013-11-11 13:09:35.435221,,5,115,50.6616494479813,5.625,207.219.3.222,207.219.3.222:49654
47,2013-11-11 13:10:02.127946,2013-11-11 13:10:02.127946,,9,267,43.7710938177565,-79.453125,207.219.3.222,207.219.3.222:51418
48,2013-11-11 13:11:34.542424,2013-11-11 13:11:34.542424,,10,218,46.8507998925128,-71.4166259765625,207.219.3.222,207.219.3.222:51422
49,2013-11-11 13:14:39.216825,2013-11-11 13:14:39.216825,,11,278,46.858312922425,-71.4166259765625,207.219.3.222,207.219.3.222:57434
50,2013-11-11 13:16:05.38289,2013-11-11 13:16:05.38289,,4,252,45.5121212682053,-73.6962890625,207.219.3.222,207.219.3.222:59675
51,2013-11-11 13:16:42.143236,2013-11-11 13:16:42.143236,,1,47,49.273071,-123.023117,207.219.3.222,207.219.3.222:59674
52,2013-11-11 13:16:55.15759,2013-11-11 13:16:55.15759,,1,47,49.273071,-123.023117,207.219.3.222,207.219.3.222:57434
11,2013-11-07 17:27:55.611421,2013-11-07 18:57:01.917025,,3,1,,,,
10,2013-11-07 17:27:47.65739,2013-11-07 18:57:05.232409,,2,1,,,,
53,2013-11-11 13:17:04.410262,2013-11-11 13:17:04.410262,,1,47,49.273071,-123.023117,207.219.3.222,207.219.3.222:60917
54,2013-11-11 13:17:25.042141,2013-11-11 13:17:25.042141,,1,47,49.273071,-123.023117,207.219.3.222,207.219.3.222:61403
55,2013-11-11 13:17:35.169285,2013-11-11 13:17:35.169285,,1,47,49.273071,-123.023117,207.219.3.222,207.219.3.222:57434
56,2013-11-11 13:17:44.796389,2013-11-11 13:17:44.796389,,1,47,49.273071,-123.023117,207.219.3.222,207.219.3.222:61403
57,2013-11-11 13:18:46.747541,2013-11-11 13:18:46.747541,,5,278,46.858312922425,-71.4166259765625,207.219.3.222,207.219.3.222:60916
58,2013-11-11 13:19:28.939153,2013-11-11 13:19:28.939153,,1,267,43.7710938177565,-79.453125,207.219.3.222,207.219.3.222:59674
59,2013-11-11 13:30:33.235102,2013-11-11 13:30:33.235102,,1,218,46.8507998925128,-71.4166259765625,207.219.3.222,207.219.3.222:28205
60,2013-11-11 13:30:50.092108,2013-11-11 13:30:50.092108,,1,218,46.8507998925128,-71.4166259765625,207.219.3.222,207.219.3.222:28543
61,2013-11-11 13:31:04.052318,2013-11-11 13:31:04.052318,,1,218,46.8507998925128,-71.4166259765625,207.219.3.222,207.219.3.222:28542
62,2013-11-11 13:49:57.524398,2013-11-11 13:49:57.524398,,1,218,46.8432858114968,-71.4166259765625,24.114.91.37,24.114.91.37:7038
63,2013-11-11 16:42:20.053398,2013-11-11 16:42:20.053398,,1,218,46.8451644302928,-71.4193725585938,207.219.3.222,207.219.3.222:43186
64,2013-11-11 16:53:47.567017,2013-11-11 16:53:47.567017,,1,1,0,0,::1,
65,2013-11-11 17:09:36.190895,2013-11-11 17:09:36.190895,,1,47,0,0,207.219.3.222,207.219.3.222:42472
66,2013-11-11 17:10:21.278911,2013-11-11 17:10:21.278911,,1,218,46.8601910156703,-71.3671875,::1,
67,2013-11-11 17:12:59.041615,2013-11-11 17:12:59.041615,,1,218,46.8000594467873,-71.3671875,::1,
68,2013-11-11 17:13:35.138095,2013-11-11 17:13:35.138095,,1,218,46.8601910156703,-71.3671875,::1,
69,2013-11-11 17:16:29.722085,2013-11-11 17:16:29.722085,,11,218,46.8601910156703,-71.3671875,::1,
70,2013-11-11 17:16:48.425132,2013-11-11 17:16:48.425132,,11,218,46.8601910156703,-71.3671875,::1,
71,2013-11-11 17:17:57.001092,2013-11-11 17:17:57.001092,,11,218,46.8601910156703,-71.3671875,::1,
72,2013-11-11 17:20:22.503552,2013-11-11 17:20:22.503552,,11,218,46.8601910156703,-71.3671875,::1,
73,2013-11-11 17:20:34.722367,2013-11-11 17:20:34.722367,,11,1,0,0,::1,
74,2013-11-11 17:21:39.614886,2013-11-11 17:21:39.614886,,11,218,46.8601910156703,-71.3671875,::1,
75,2013-11-11 17:21:55.241356,2013-11-11 17:21:55.241356,,11,218,46.8601910156703,-71.3671875,::1,
76,2013-11-11 17:25:31.458215,2013-11-11 17:25:31.458215,,11,1,0,0,::1,
77,2013-11-11 17:28:15.538148,2013-11-11 17:28:15.538148,,11,1,0,0,::1,
