cartodb_id,name,created_at,updated_at,the_geom,green_weight
11,Others,2013-11-06 12:59:45.790626,2013-11-06 12:59:57.017555,,5
1,Car,2013-11-06 00:48:52.94013,2013-11-11 17:14:14.404417,,10
2,Walk,2013-11-06 00:49:25.809864,2013-11-11 17:14:22.942555,,1
3,Bike,2013-11-06 12:57:22.575246,2013-11-11 17:14:26.969651,,1
4,Motorbike,2013-11-06 12:57:34.893561,2013-11-11 17:14:32.803058,,7
5,Train,2013-11-06 12:57:59.294069,2013-11-11 17:14:36.942017,,3
6,Subway,2013-11-06 12:58:12.602793,2013-11-11 17:14:41.550204,,3
7,Tramway,2013-11-06 12:58:25.051956,2013-11-11 17:14:44.642658,,3
8,Carpooling,2013-11-06 12:58:52.318081,2013-11-11 17:14:48.564384,,6
9,Bus,2013-11-06 12:59:22.567698,2013-11-11 17:14:52.308603,,4
10,Ferry,2013-11-06 12:59:33.894662,2013-11-11 17:14:55.286272,,3
